account_id,customer_id,account_type,balance
1,5448,Savings,20967307.39
2,35464,Savings,16909731.01
3,80628,Salary,38628407.58
4,4875,Salary,15022493.72
5,32285,Current,12810032.3
6,13241,Current,18350530.84
7,6931,Savings,33844076.75
8,57273,Savings,14065137.33
9,60780,Salary,39695097.68
10,51333,Current,12552476.92
11,36880,Salary,48972305.91
12,48534,Current,23396812.91
13,54750,Current,27327748.71
14,76385,Salary,7604888.8
15,42578,Salary,38555773.37
16,5564,Current,12444767.81
17,58857,Salary,44564364.37
18,35684,Savings,7131488.06
19,66775,Current,26591232.21
20,51259,Savings,37702203.13
21,26809,Savings,43877994.82
22,72697,Savings,33731776.0
23,88591,Salary,41298990.97
24,43845,Salary,7806357.41
25,58160,Savings,6858361.89
26,92577,Savings,47567244.57
27,61738,Salary,15492092.23
28,95159,Current,9417890.6
29,22776,Salary,1152764.11
30,64089,Current,46482969.53
31,52731,Salary,17517039.86
32,6379,Salary,27769318.58
33,24051,Current,26718719.37
34,70523,Current,18663556.8
35,7493,Current,39549757.02
36,93118,Savings,32625690.17
37,60446,Savings,22639881.03
38,65900,Savings,46340875.73
39,17195,Salary,44651428.55
40,54236,Current,38811181.76
41,74322,Current,12653588.67
42,78568,Current,33403555.89
43,89180,Current,15079719.8
44,18681,Current,26416139.74
45,67693,Current,15495925.58
46,31855,Salary,27101379.65
47,55180,Savings,37970136.71
48,31080,Savings,30941903.77
49,20583,Salary,38257618.86
50,18713,Current,12456384.29
51,45684,Savings,32323679.76
52,85397,Savings,31932432.95
53,25188,Salary,13960655.91
54,97768,Current,6125775.54
55,2710,Savings,8159950.31
56,71402,Current,46119004.95
57,70025,Current,40049830.24
58,71704,Savings,44421289.66
59,44280,Savings,30067748.32
60,76996,Salary,28830003.9
61,42311,Current,38079310.36
62,68179,Salary,24199549.93
63,3395,Current,24344034.86
64,19316,Savings,49106162.97
65,96961,Current,33838937.87
66,44513,Current,11282565.83
67,57577,Current,19985240.33
68,54531,Current,7376011.34
69,36713,Current,700879.34
70,97148,Salary,29114897.86
71,50466,Salary,17619203.56
72,29169,Salary,47702596.59
73,21262,Current,2282022.29
74,89821,Current,37649846.33
75,61722,Savings,21253568.12
76,31757,Salary,34652867.77
77,36495,Savings,42285485.05
78,90413,Salary,11348910.59
79,62271,Savings,45617027.26
80,20577,Current,1767032.85
81,2447,Current,37259759.03
82,65030,Current,40227136.05
83,24774,Current,2578486.82
84,84657,Savings,27104437.92
85,16431,Savings,5922924.47
86,17413,Savings,31687403.15
87,56342,Salary,9413745.42
88,79369,Salary,41240907.5
89,29241,Current,24860501.52
90,86649,Salary,16483568.97
91,34735,Current,28360601.96
92,94383,Current,14079658.6
93,78242,Current,24773771.74
94,16293,Current,21104475.97
95,63006,Current,32574415.35
96,56658,Salary,937647.56
97,82616,Savings,36142629.01
98,59768,Current,40149343.18
99,95984,Salary,43367486.27
100,85862,Salary,40947727.48
101,39191,Salary,2702684.09
102,21419,Current,37817442.73
103,47644,Salary,27167249.9
104,262,Salary,43395398.89
105,96839,Salary,42430382.67
106,67373,Savings,11998079.07
107,25777,Salary,19526652.22
108,12048,Current,8430707.2
109,36427,Salary,28540830.28
110,97667,Savings,22271400.23
111,28306,Current,29010088.17
112,55218,Current,13511658.54
113,98275,Current,15777902.04
114,89189,Savings,14920831.89
115,83273,Current,49535589.81
116,87935,Current,30205145.38
117,4680,Salary,342441.77
118,47583,Salary,39129291.42
119,18373,Current,18634134.99
120,74419,Savings,17396603.81
121,4916,Salary,42064202.35
122,8374,Current,23548443.8
123,50037,Salary,1142274.79
124,68859,Current,24405150.19
125,35613,Savings,20965697.99
126,88694,Salary,23084153.64
127,65727,Savings,31550514.45
128,44033,Salary,32622737.55
129,21745,Salary,7698277.21
130,32699,Salary,18141974.0
131,14943,Savings,15975346.74
132,92237,Savings,37821330.66
133,76309,Current,42812975.55
134,42206,Savings,12985685.05
135,84107,Savings,41815407.19
136,63508,Current,24354971.52
137,59685,Current,29624702.0
138,96576,Current,615165.82
139,9700,Savings,28016594.29
140,3571,Salary,25521508.81
141,79572,Savings,5187427.56
142,35490,Current,35878224.84
143,2974,Savings,17945718.13
144,79897,Savings,35033838.37
145,22656,Savings,2902055.94
146,30835,Savings,45922726.68
147,65911,Savings,45813474.97
148,81493,Salary,31222432.5
149,58204,Salary,25509561.51
150,19852,Savings,7498494.61
151,54833,Savings,18359726.17
152,94704,Savings,21218605.09
153,6408,Salary,20851794.02
154,26464,Salary,47294025.56
155,68416,Savings,15529893.48
156,78071,Current,17140505.07
157,93171,Current,15811073.25
158,90230,Salary,42644634.84
159,59968,Salary,40852416.01
160,31175,Savings,21440382.54
161,82524,Salary,27001079.14
162,97694,Current,29886831.3
163,38295,Savings,29462744.39
164,52311,Current,15175000.55
165,88219,Salary,20552662.56
166,4558,Current,11033656.07
167,36161,Current,18002142.48
168,7917,Salary,27186573.87
169,16353,Savings,29445834.96
170,14738,Current,23487351.86
171,94842,Salary,2830290.26
172,54013,Current,23479571.82
173,78354,Salary,42895694.08
174,80078,Savings,12456694.96
175,47941,Savings,23790179.13
176,55026,Savings,23731178.4
177,13548,Current,19849055.39
178,93161,Savings,17114071.91
179,53132,Savings,32904891.62
180,11862,Current,32451911.73
181,73871,Savings,13645881.18
182,89557,Salary,25596335.83
183,75206,Savings,45447096.01
184,97188,Salary,40868394.94
185,7973,Savings,38486736.15
186,79722,Salary,9410797.18
187,51860,Savings,24138217.22
188,66521,Salary,39530081.46
189,13066,Current,15867102.18
190,49676,Savings,21893436.56
191,38665,Savings,17506612.15
192,28625,Savings,32577830.1
193,47167,Salary,40039415.71
194,66503,Savings,5220866.85
195,50701,Savings,459509.3
196,51362,Savings,13874679.5
197,17108,Salary,46061210.56
198,5122,Current,19537035.17
199,94204,Current,33320093.03
200,931,Salary,41133655.03
201,31142,Savings,33428831.83
202,70962,Current,7750619.29
203,72281,Salary,12096777.71
204,29078,Savings,1583421.92
205,99773,Current,22535451.21
206,41770,Current,3621705.98
207,9981,Savings,29085137.51
208,25530,Savings,37888394.13
209,3428,Salary,6004681.11
210,89785,Current,42411982.91
211,24966,Savings,13008561.62
212,45367,Salary,48798980.65
213,79233,Current,24288667.77
214,64815,Salary,42556178.84
215,9653,Salary,17996080.92
216,2270,Current,14089788.1
217,42023,Savings,716333.38
218,53018,Savings,29529587.82
219,65384,Savings,20376049.16
220,18703,Savings,40620162.14
221,92482,Current,1044123.7
222,48453,Salary,40193242.0
223,63425,Salary,15932879.02
224,10137,Savings,40139120.97
225,7823,Savings,9346805.07
226,91350,Savings,14682222.94
227,14585,Salary,48186117.36
228,14280,Savings,11595967.27
229,35283,Salary,13845447.32
230,18490,Savings,248035.04
231,72095,Savings,33622497.56
232,27659,Salary,35843755.23
233,80730,Current,15490580.44
234,49745,Salary,40270170.38
235,44199,Savings,418908.66
236,7482,Savings,34000070.02
237,37833,Current,34721484.86
238,37503,Current,22867681.14
239,72595,Savings,26188191.68
240,14424,Salary,36722278.88
241,94293,Salary,43291024.48
242,67858,Salary,48360440.69
243,82359,Current,12901532.66
244,51404,Salary,38098877.08
245,85565,Salary,43828120.45
246,47856,Savings,38530715.89
247,51629,Current,12819546.38
248,84322,Salary,19332499.79
249,15576,Current,22761132.47
250,50169,Salary,28263718.41
251,70808,Current,31895159.8
252,86129,Savings,42823188.74
253,95300,Current,41391016.79
254,58266,Salary,28332525.81
255,67822,Salary,35513439.04
256,15402,Savings,16626542.83
257,2158,Current,31793146.19
258,37432,Savings,35857808.94
259,68736,Savings,1776765.19
260,52380,Salary,44887497.84
261,74913,Salary,2534193.6
262,66762,Current,15375034.28
263,80734,Current,43471568.96
264,95294,Current,32312763.01
265,83501,Current,11070640.7
266,53454,Savings,47404317.85
267,1328,Current,30075261.68
268,80300,Salary,11442996.96
269,28874,Salary,16876798.17
270,30633,Savings,26928340.45
271,33273,Current,23245409.69
272,54079,Current,36897270.98
273,44188,Current,19372057.91
274,46537,Savings,13965167.53
275,33124,Salary,18450735.93
276,44105,Current,23730176.41
277,20040,Current,40576989.2
278,40153,Savings,35393382.03
279,65024,Salary,46924667.52
280,19392,Salary,30668196.15
281,82694,Salary,5601814.38
282,17353,Savings,8783786.3
283,71717,Current,33248509.26
284,29137,Salary,22868008.43
285,62470,Current,47139692.96
286,42484,Current,15699586.18
287,31872,Savings,34407127.45
288,5443,Salary,32273644.06
289,10305,Salary,14315912.22
290,90912,Savings,38207819.02
291,76531,Savings,14654893.99
292,77447,Salary,45898296.9
293,81417,Salary,8530555.64
294,22366,Current,11339026.78
295,23667,Salary,29354242.03
296,33347,Savings,13201941.84
297,78153,Salary,10898248.53
298,7130,Salary,46688878.93
299,23508,Salary,23294237.74
300,66621,Current,30099158.26
301,67203,Current,24951069.85
302,11436,Current,13236614.73
303,3753,Salary,36402002.68
304,96198,Salary,7619753.37
305,47898,Salary,12273402.49
306,63446,Savings,14538023.36
307,94575,Current,28097136.88
308,68868,Savings,35317909.85
309,82244,Salary,1942043.21
310,36639,Salary,2358679.68
311,60949,Savings,16041250.25
312,85400,Savings,20991103.31
313,82227,Savings,9893926.31
314,22082,Savings,1051758.39
315,24842,Salary,39162149.12
316,51368,Current,28263250.89
317,69144,Salary,6429973.9
318,56580,Salary,39125338.64
319,27628,Savings,21241948.75
320,26763,Savings,4112434.1
321,96206,Savings,12511629.99
322,6294,Current,17463008.1
323,37897,Current,25653417.21
324,76153,Current,15130509.83
325,32415,Salary,44403647.98
326,30413,Savings,44955980.75
327,83825,Salary,41746050.22
328,61740,Savings,10956156.84
329,12959,Savings,38227890.1
330,57308,Salary,37442603.92
331,95804,Salary,45696799.7
332,97549,Savings,39784484.63
333,75852,Savings,32789445.78
334,16190,Savings,14861089.14
335,61578,Savings,21936143.92
336,7341,Current,40746694.65
337,93821,Current,44892690.39
338,32678,Salary,44783963.27
339,10290,Current,12180179.09
340,55894,Current,20248868.03
341,27184,Savings,6821413.56
342,4263,Savings,34557052.69
343,20575,Savings,41067990.25
344,31230,Current,18950123.69
345,62106,Salary,15810224.32
346,40914,Savings,18583828.23
347,97616,Savings,38161936.01
348,56569,Savings,49759761.04
349,61366,Savings,41219489.04
350,23467,Current,25711013.28
351,4158,Savings,42282041.25
352,35473,Current,16038659.02
353,39694,Savings,49873805.19
354,38859,Current,48737840.58
355,4480,Current,36177412.59
356,34716,Savings,12303708.85
357,9461,Current,2018290.44
358,37258,Current,12574007.76
359,82709,Salary,9470909.11
360,58089,Current,2045523.49
361,10206,Savings,43342234.33
362,84758,Salary,47810319.16
363,59247,Savings,5069197.44
364,8269,Salary,32600417.73
365,92684,Current,40985814.12
366,93218,Current,46677617.54
367,85134,Savings,9936707.93
368,66699,Savings,39496626.33
369,72014,Salary,10828737.18
370,4468,Current,45594245.62
371,43718,Current,44491771.1
372,76332,Current,45896171.6
373,19456,Current,14446878.88
374,85639,Salary,22779002.9
375,1810,Current,45607450.93
376,21823,Current,14306633.56
377,29860,Savings,13533916.18
378,9328,Savings,20423281.04
379,929,Current,1928214.74
380,55717,Salary,1954530.91
381,79078,Savings,16574083.17
382,6804,Salary,30990523.54
383,11780,Salary,23692775.8
384,46429,Savings,38548607.45
385,46091,Salary,15765998.05
386,88369,Current,40639098.63
387,52000,Current,45719391.0
388,17085,Current,25003824.3
389,47558,Salary,47086117.04
390,19440,Salary,27074743.56
391,76287,Savings,11583755.05
392,4308,Savings,38776641.5
393,43062,Savings,24707079.45
394,82239,Salary,35504117.14
395,78888,Savings,24412892.18
396,9343,Current,8737391.67
397,96991,Salary,6595632.16
398,48820,Salary,31843333.19
399,58970,Salary,27780339.36
400,53417,Current,9277681.57
401,96890,Savings,32796691.25
402,81437,Current,27640198.46
403,14659,Current,39429713.26
404,58049,Savings,31884791.28
405,76709,Salary,14509892.71
406,92162,Salary,7713082.34
407,60314,Salary,47004832.79
408,27904,Salary,20398152.65
409,13525,Savings,34120263.3
410,49904,Salary,23443600.41
411,95432,Current,17421048.98
412,24658,Savings,31806034.83
413,24686,Salary,11460371.49
414,38692,Current,49085016.56
415,78883,Salary,47119312.03
416,3336,Current,20623671.9
417,56857,Current,33483215.05
418,5303,Salary,1706914.85
419,9498,Salary,25563809.03
420,6010,Salary,43976471.13
421,65356,Savings,43383413.65
422,76895,Savings,40778444.4
423,29774,Salary,41254913.63
424,38610,Current,38027859.38
425,63871,Salary,41348576.44
426,89679,Current,29676273.19
427,14859,Savings,13206904.33
428,71611,Salary,743535.84
429,11922,Salary,20226744.25
430,44058,Savings,14058294.09
431,41370,Savings,11390392.67
432,67811,Current,49167706.26
433,66836,Savings,14859319.95
434,97505,Salary,37229776.16
435,58129,Current,39284392.83
436,27369,Current,44619705.35
437,20732,Current,13449628.86
438,42838,Current,3635333.61
439,72350,Salary,8267498.9
440,80061,Current,39143735.19
441,34923,Current,20272505.69
442,22060,Savings,10296381.21
443,85858,Salary,43827260.4
444,66581,Savings,31459347.54
445,6354,Current,20063070.54
446,6532,Salary,33174071.51
447,356,Salary,33589347.85
448,95680,Current,24855509.08
449,25009,Salary,31932054.13
450,54289,Current,37786822.52
451,89959,Current,48031563.53
452,69428,Savings,15320178.01
453,19942,Savings,13140436.77
454,50003,Salary,3076515.1
455,19599,Salary,38322965.29
456,27109,Salary,10204625.33
457,10251,Salary,5427713.29
458,36285,Salary,13648885.05
459,3306,Current,22350914.29
460,24608,Savings,47519863.22
461,24177,Current,41004847.93
462,61580,Current,42700093.89
463,72923,Savings,2548526.97
464,95216,Savings,49587931.57
465,64117,Savings,32983483.61
466,13448,Current,1870732.64
467,48237,Salary,26711831.78
468,34393,Savings,40991345.47
469,83070,Savings,37213836.21
470,56286,Savings,36197695.12
471,9600,Current,25109964.05
472,80890,Salary,26517443.25
473,15486,Salary,32161685.74
474,9574,Savings,29460765.4
475,18043,Salary,3987058.02
476,81336,Salary,44878852.18
477,27837,Salary,7167623.92
478,63518,Savings,48550563.53
479,90363,Savings,22970001.62
480,38991,Savings,1214867.26
481,24147,Savings,45099620.86
482,27436,Current,49608826.52
483,27163,Salary,2229369.72
484,45485,Current,2939149.92
485,14990,Savings,8143308.04
486,39412,Current,21313189.41
487,62985,Savings,18203632.33
488,57694,Salary,9393856.23
489,7913,Savings,13799499.9
490,28980,Salary,42253223.69
491,95481,Salary,11296089.6
492,63187,Savings,35544506.71
493,60318,Current,1043728.14
494,29818,Current,8279321.62
495,60465,Salary,29471398.66
496,81368,Savings,42941716.28
497,74187,Current,49933379.32
498,81173,Current,3636309.08
499,1382,Salary,31981057.15
500,50313,Current,7492482.05
501,88201,Savings,6933065.83
502,83044,Savings,14873232.02
503,70890,Current,39687315.28
504,79136,Salary,48722740.38
505,7214,Current,32398673.74
506,14476,Salary,5654475.59
507,67778,Savings,31826981.8
508,76907,Current,39286142.64
509,38253,Savings,36873184.93
510,71467,Salary,42062318.54
511,93759,Salary,35059608.58
512,37728,Current,14478323.29
513,16063,Savings,22042248.67
514,98494,Salary,42893767.45
515,37317,Savings,38291212.33
516,6037,Savings,12540551.52
517,66745,Current,12704975.89
518,16379,Current,5310711.83
519,46513,Salary,23440826.35
520,49073,Savings,33583001.45
521,69633,Salary,33367983.07
522,93827,Savings,18939572.24
523,78551,Savings,27341371.66
524,98627,Current,33437703.37
525,43322,Savings,25841118.42
526,97267,Savings,35126659.51
527,42040,Salary,2779490.18
528,36500,Salary,45024007.64
529,46143,Salary,7344227.02
530,16457,Current,39235832.29
531,46423,Salary,34428317.9
532,55455,Current,5929445.24
533,73350,Current,447252.87
534,29540,Savings,12236733.68
535,70862,Current,13799521.53
536,47180,Savings,16932264.79
537,62747,Salary,32133933.0
538,66291,Salary,30169252.91
539,33,Salary,16863746.89
540,14580,Savings,7951870.31
541,14584,Current,36216987.32
542,4620,Current,45359250.18
543,92538,Salary,41352130.39
544,81352,Savings,18542076.73
545,29814,Savings,38054035.34
546,12934,Savings,33746243.71
547,53997,Salary,21758881.23
548,73778,Current,32553549.06
549,55965,Salary,22288367.67
550,50856,Salary,7494431.37
551,91066,Salary,15212973.13
552,21956,Salary,11921916.09
553,47900,Current,30310006.62
554,99609,Savings,41479078.7
555,72433,Savings,3267950.68
556,35046,Savings,13898037.46
557,93360,Savings,43287228.38
558,39650,Salary,34072681.47
559,55405,Savings,31885273.54
560,64282,Current,39539910.73
561,28997,Savings,44256365.64
562,82666,Current,2271517.69
563,72408,Savings,3108665.31
564,48278,Salary,21671798.18
565,43287,Current,21642769.13
566,82582,Current,46168673.73
567,10482,Current,30655746.12
568,67235,Savings,28840487.48
569,35577,Savings,16211852.11
570,90829,Savings,14160532.54
571,45850,Salary,1695694.14
572,72838,Salary,8335568.86
573,66084,Current,1264286.85
574,51111,Current,2142465.56
575,27646,Savings,26783263.19
576,51760,Savings,25986799.31
577,55598,Savings,44167194.89
578,5301,Current,5440579.96
579,81069,Salary,5113867.18
580,40679,Current,29671998.01
581,63135,Current,21190356.4
582,56829,Current,28229982.02
583,52622,Current,28002166.9
584,77200,Salary,4711512.89
585,49599,Salary,44461966.17
586,17256,Savings,15177371.04
587,86652,Savings,17124689.59
588,66606,Salary,1974005.7
589,89805,Current,32077779.61
590,50412,Current,20840119.08
591,9901,Savings,36045541.18
592,72144,Savings,31231066.21
593,47931,Current,7711149.52
594,75565,Salary,12306142.83
595,67666,Current,7616268.14
596,33388,Salary,22909505.1
597,73991,Current,20574123.95
598,32184,Salary,14617406.03
599,83054,Salary,12878477.9
600,50609,Salary,44054747.37
601,8926,Salary,6929234.09
602,29279,Salary,48587328.58
603,58655,Savings,24336885.06
604,42295,Savings,15801278.17
605,31483,Savings,23000844.91
606,59098,Savings,29568270.9
607,98688,Current,2183293.41
608,84137,Current,18670806.15
609,13802,Current,27216644.25
610,18532,Savings,48199135.57
611,79350,Savings,38344680.84
612,98388,Savings,15628494.85
613,24265,Salary,25229116.57
614,54896,Current,2959770.1
615,10704,Salary,39941204.13
616,37123,Current,29210466.18
617,5777,Salary,44390777.85
618,28852,Salary,13600840.28
619,29184,Savings,19411381.22
620,34618,Salary,26481890.7
621,42752,Salary,13504277.43
622,74462,Salary,16780041.69
623,51335,Salary,8518454.15
624,27559,Salary,12213498.63
625,63508,Salary,26974732.76
626,79825,Savings,24074868.21
627,77233,Salary,118441.54
628,73304,Savings,38903977.85
629,8175,Savings,19124777.73
630,87857,Current,13627179.79
631,140,Savings,24442202.82
632,89452,Savings,7195429.19
633,84121,Salary,31440074.68
634,87555,Salary,7216858.34
635,47818,Salary,5496601.98
636,3697,Salary,5548438.65
637,29570,Savings,14354489.21
638,26274,Salary,7912786.01
639,97399,Savings,34329992.25
640,68445,Current,23164414.4
641,64483,Salary,28313986.06
642,35818,Current,18450873.07
643,42037,Current,37956675.5
644,12857,Current,3658936.13
645,5272,Salary,33576667.13
646,76829,Savings,17933066.1
647,2913,Salary,1438572.06
648,94751,Current,18126364.79
649,4986,Salary,22415160.7
650,38091,Salary,7794919.39
651,3709,Savings,33775514.16
652,45511,Current,26793498.83
653,40105,Current,15644991.41
654,24596,Savings,41532921.77
655,13736,Savings,21565968.56
656,79624,Salary,1841154.95
