loan_id,customer_id,loan_amount,interest_rate,status
1,39371,64619314.68,10.21,Defaulted
2,4755,53280335.58,18.39,Defaulted
3,93518,62932249.87,19.4,Active
4,40438,78517379.54,16.24,Defaulted
5,42493,58730085.81,19.55,Active
6,34058,36826356.37,19.51,Active
7,69187,79104004.59,21.58,Closed
8,62973,47283630.03,11.89,Closed
9,85107,7083573.43,10.01,Defaulted
10,51317,37028818.77,14.82,Closed
11,49047,41977880.65,23.23,Closed
12,16990,6079404.31,18.91,Closed
13,90789,25894978.25,16.2,Closed
14,81143,67287839.19,20.72,Defaulted
15,44123,42853183.26,18.68,Active
16,6271,48394345.11,10.7,Closed
17,20096,1155684.82,11.19,Defaulted
18,99304,47429338.04,22.77,Closed
19,38079,66804039.18,11.66,Defaulted
20,81640,48650296.34,16.51,Defaulted
21,64629,59931763.67,23.65,Defaulted
22,51025,68424021.45,10.36,Defaulted
23,14203,26291082.6,20.91,Defaulted
24,42385,91321711.56,19.6,Closed
25,15483,81300124.62,19.9,Defaulted
26,55304,11820540.23,16.35,Defaulted
27,45185,38000329.1,21.62,Closed
28,43047,70958359.86,23.27,Closed
29,57801,6266952.36,19.74,Defaulted
30,14773,51396612.98,13.78,Active
31,16820,65816848.98,11.7,Active
32,6971,67350152.38,21.2,Active
33,52670,78831947.56,12.36,Defaulted
34,37433,14950496.33,12.45,Active
35,99442,62007792.25,16.14,Active
36,11498,18030889.85,11.72,Closed
37,49122,82906166.94,12.74,Defaulted
38,46935,91344415.26,21.97,Active
39,39114,83312776.21,19.5,Closed
40,30007,10206764.46,23.2,Defaulted
41,14767,59845763.85,13.78,Active
42,5168,76432161.71,22.65,Active
43,61216,81940749.96,20.43,Active
44,46044,93067520.96,16.63,Active
45,74542,60903334.72,12.79,Defaulted
46,25021,1532304.87,15.52,Defaulted
47,72727,73703131.73,21.1,Active
48,6580,42670487.42,20.41,Closed
49,94527,9411642.25,16.26,Active
50,83087,48147581.58,8.08,Defaulted
51,96587,97599093.56,19.51,Closed
52,75304,2520952.23,17.75,Closed
53,27837,29853073.24,23.96,Defaulted
54,58915,64418871.03,19.34,Defaulted
55,83773,2060757.17,23.2,Closed
56,56746,29909688.37,23.63,Defaulted
57,88269,47287642.24,15.81,Active
58,52303,95825186.82,16.58,Active
59,41311,82368019.77,15.96,Active
60,95380,33416742.46,10.13,Defaulted
61,3713,34327867.65,19.37,Closed
62,93953,81579523.6,21.94,Defaulted
63,30219,6446546.47,20.42,Defaulted
64,43931,36548696.47,8.15,Closed
65,3835,68225205.84,9.73,Active
66,46205,54982574.88,9.0,Closed
67,88857,80565240.82,23.87,Defaulted
68,46343,96203746.96,12.8,Defaulted
69,35081,42448540.11,15.71,Active
70,4604,45381696.06,16.58,Defaulted
71,8949,69203553.37,22.21,Active
72,73799,1432807.72,22.69,Defaulted
73,72088,23210061.83,10.87,Active
74,5463,36493371.02,10.9,Defaulted
75,1725,77011094.2,16.97,Closed
76,89168,89210624.05,9.96,Closed
77,98647,29306470.9,13.08,Defaulted
78,33507,6138466.52,11.74,Defaulted
79,31772,61508282.17,8.59,Defaulted
80,48992,94068317.98,18.23,Defaulted
81,42448,70509528.88,12.56,Active
82,47950,27735783.06,21.97,Defaulted
83,52189,27159744.3,21.16,Closed
84,99548,40275967.88,21.94,Defaulted
85,43229,89948202.94,22.56,Closed
86,47465,2058849.68,21.7,Defaulted
87,26557,51550956.62,19.51,Active
88,69026,49969290.6,8.78,Active
89,54397,34684225.22,10.71,Defaulted
90,44432,25157142.24,18.18,Active
91,1154,89713092.62,12.54,Closed
92,74496,46473848.58,18.11,Active
93,74714,52845283.33,10.78,Defaulted
94,16150,69982719.95,19.46,Closed
95,79984,9200292.61,8.3,Closed
96,53114,19325991.57,23.63,Active
97,58582,59973934.87,17.05,Active
98,88458,83005442.57,12.13,Closed
99,60551,28588889.95,9.6,Defaulted
100,59419,26094514.34,19.91,Closed
101,95700,97771258.05,9.71,Active
102,47805,19101268.15,11.79,Active
103,15908,24461197.14,21.2,Active
104,2790,24393612.68,8.82,Closed
105,6250,15126147.06,19.3,Defaulted
106,3764,10266941.62,12.53,Defaulted
107,2229,13517688.76,8.18,Closed
108,78063,82575703.41,16.09,Defaulted
109,51710,91988636.46,21.5,Active
110,50137,45357454.9,14.3,Defaulted
111,30773,15615005.05,19.98,Closed
112,64931,77995761.64,14.93,Closed
113,27189,2353333.4,22.74,Closed
114,17612,35430331.14,12.37,Active
115,99868,22915373.57,19.08,Active
116,73455,24433805.39,10.21,Closed
117,11581,72846138.76,10.93,Defaulted
118,63530,74134009.93,10.72,Closed
119,85030,72606511.55,8.62,Closed
120,7583,46781271.93,11.1,Closed
121,89210,52283308.27,8.38,Defaulted
122,15775,72851538.07,11.6,Defaulted
123,96104,34954022.29,21.1,Defaulted
124,53872,58350074.78,13.07,Defaulted
125,8767,91667830.72,11.16,Active
126,31428,51284759.24,20.79,Defaulted
127,70334,42273170.55,15.25,Active
128,6867,81136620.38,15.46,Defaulted
129,20973,31597258.95,13.78,Defaulted
130,35289,67830629.66,21.99,Defaulted
131,10559,74542250.57,13.27,Active
132,8532,86745039.28,20.5,Active
133,75899,38087896.21,18.99,Closed
134,32321,19214710.02,11.2,Closed
135,5519,6051231.93,14.63,Defaulted
136,27111,80074749.52,23.31,Active
137,49077,57245760.84,22.03,Closed
138,5124,45488483.54,17.64,Defaulted
139,12792,43943368.55,18.19,Active
140,21423,13045661.9,17.4,Active
141,20985,57806732.53,11.3,Defaulted
142,57189,53981489.32,14.98,Closed
143,97517,25533973.39,8.66,Closed
144,8011,10909365.69,8.34,Active
145,71899,58621634.44,18.26,Defaulted
146,9857,44599737.24,21.25,Defaulted
147,90321,50224410.2,14.12,Defaulted
148,46393,28593815.79,10.55,Active
149,54379,17481172.34,22.8,Active
150,57475,44208083.73,15.25,Closed
151,37,6666321.47,14.87,Defaulted
152,7704,59950599.62,18.53,Defaulted
153,84748,94536017.23,21.12,Closed
154,82107,96750359.55,16.15,Closed
155,80982,62414626.24,13.03,Closed
156,79319,29238739.2,22.74,Defaulted
157,90809,41320806.94,10.39,Active
158,68106,21349697.13,12.83,Active
159,90858,40728343.91,16.87,Active
160,93240,49735444.3,8.12,Active
161,1425,88753002.97,16.16,Closed
162,13682,94903137.22,21.52,Closed
163,30919,68678361.15,18.08,Defaulted
164,76685,95154518.13,16.54,Active
165,54942,60352055.39,8.24,Closed
166,46977,93132876.07,8.49,Defaulted
167,40297,90562415.5,12.16,Defaulted
168,47003,58389445.16,12.26,Active
169,5861,47610511.7,19.03,Defaulted
170,1915,29026488.45,15.65,Active
171,23685,37999936.37,8.75,Active
172,991,47318907.03,9.39,Closed
173,17088,83657262.62,15.72,Closed
174,69561,9905622.45,13.35,Closed
175,6490,89970072.38,22.16,Closed
176,29646,95487664.21,11.15,Active
177,75390,83020609.9,19.97,Closed
178,50186,16999197.35,19.59,Defaulted
179,83374,55661835.42,22.35,Defaulted
180,74386,78081430.54,21.66,Closed
181,60517,72431504.2,11.69,Closed
182,13135,15720874.95,9.47,Defaulted
183,32530,13633602.61,22.47,Defaulted
184,54348,49321284.79,22.51,Active
185,98403,81367838.11,8.24,Defaulted
186,53278,37704674.22,23.12,Defaulted
187,28041,71406166.89,22.75,Defaulted
188,21712,65462861.13,15.56,Closed
189,86239,41667149.4,12.37,Defaulted
190,7192,31841710.71,9.78,Active
191,26309,56056706.84,11.78,Closed
192,62701,59444616.93,10.52,Defaulted
193,36790,85532124.01,22.17,Active
194,26177,98596636.16,9.55,Defaulted
195,77229,75112712.34,11.41,Closed
196,23226,81816994.95,11.39,Closed
197,55856,12488201.69,22.17,Closed
198,57864,50951983.39,19.38,Active
199,22571,75509490.47,10.21,Active
200,74049,33366494.02,21.55,Defaulted
201,76357,45263009.02,17.74,Defaulted
202,1598,24677266.51,19.43,Defaulted
203,1538,84785933.44,14.53,Closed
204,43282,41964998.8,21.05,Active
205,31351,98159093.65,11.41,Defaulted
206,19820,3533892.06,21.83,Defaulted
207,35314,8457270.78,10.5,Defaulted
208,51432,42719007.91,21.57,Active
209,17940,13412897.37,23.79,Defaulted
210,82263,93265339.31,12.58,Active
211,94296,69825428.57,23.93,Closed
212,29049,23800952.64,23.35,Active
213,28841,54552144.8,9.05,Active
214,30272,26999571.76,22.37,Defaulted
215,42572,72412593.45,18.5,Closed
216,69323,83487220.05,16.78,Active
217,23894,50560110.51,13.16,Closed
218,26875,97362757.8,19.92,Closed
219,35187,65056798.21,22.64,Active
220,31407,17509779.03,14.0,Defaulted
221,12177,86506444.65,19.1,Active
222,45789,17840734.95,9.19,Active
223,78119,42513473.6,12.98,Closed
224,38405,44666606.44,15.69,Closed
225,3141,22050818.36,14.17,Active
226,68978,78769106.25,14.87,Defaulted
227,17844,15621051.91,14.01,Closed
228,77494,99731169.76,8.55,Active
229,63608,76465077.63,23.58,Closed
230,52950,25349266.04,13.21,Active
231,82320,56360024.76,11.11,Defaulted
232,83757,1861586.84,20.98,Defaulted
233,62972,63663262.61,14.15,Active
234,28828,58864860.85,18.9,Defaulted
235,98346,7493064.88,9.89,Closed
236,54208,39037066.23,11.83,Closed
237,79011,45743700.37,19.13,Closed
238,34396,32130153.05,18.12,Closed
239,94773,61063041.62,9.84,Active
240,65286,73659411.76,21.56,Active
241,81028,62920369.16,21.86,Defaulted
242,39928,54122027.96,8.02,Active
243,55588,96690093.42,19.47,Active
244,16106,12350581.6,13.99,Closed
245,47433,78929244.03,23.76,Active
246,1203,67775415.1,17.34,Closed
247,67607,52471870.7,17.86,Defaulted
248,33540,53316897.78,14.68,Defaulted
249,29665,69158595.98,8.16,Active
250,93405,30042842.01,14.76,Active
251,38133,63923281.0,9.71,Defaulted
252,61704,15066768.48,19.21,Active
253,82705,56867148.28,11.35,Defaulted
254,18793,31555643.82,11.65,Defaulted
255,90661,6676840.94,8.14,Defaulted
256,33526,1281907.38,18.69,Active
257,3976,15472033.68,23.88,Active
258,3619,23114636.94,8.72,Defaulted
259,91697,7702233.92,19.84,Active
260,34558,71609571.47,15.99,Active
261,3369,76811618.36,11.87,Closed
262,50508,24293728.82,21.55,Closed
263,57994,87114072.96,13.63,Closed
264,42396,9324566.04,11.47,Defaulted
265,61616,97397147.69,9.29,Closed
266,36599,24142114.22,9.77,Active
267,13283,86231026.33,21.69,Closed
268,99908,21682965.61,15.44,Active
269,34635,29349256.1,19.38,Active
270,62736,72584062.91,14.17,Closed
271,66066,56695687.44,11.03,Defaulted
272,13809,13721337.81,15.07,Closed
273,37807,6741801.84,18.11,Active
274,68517,78920761.23,17.59,Closed
275,18473,73755513.93,9.22,Closed
276,82800,74608641.76,10.06,Active
277,78604,79629430.18,19.32,Closed
278,33845,53840673.64,14.46,Closed
279,86984,46407357.5,13.44,Closed
280,49536,87512002.77,11.21,Active
281,54069,34141249.83,17.72,Defaulted
282,64986,5285671.64,19.02,Active
283,57228,40133680.48,20.9,Closed
284,23573,5718240.97,17.37,Closed
285,45031,1864084.02,22.2,Closed
286,82526,30901953.62,17.42,Active
287,28668,28089905.98,23.39,Active
288,80510,41250050.2,10.16,Closed
289,80524,85936191.98,16.25,Active
290,2657,58214581.79,18.91,Closed
291,60596,67151465.31,14.61,Defaulted
292,11202,16690395.14,14.93,Closed
293,94602,10025116.61,16.4,Defaulted
294,52071,5357873.34,20.86,Defaulted
295,24458,58279702.08,22.8,Active
296,33495,96673829.97,13.16,Closed
297,18132,44022408.99,16.83,Defaulted
298,94302,81563200.59,21.06,Active
299,82981,68689526.9,18.49,Active
300,2066,87051120.07,10.24,Active
301,83553,64064509.17,17.63,Closed
302,88018,98882929.77,10.95,Closed
303,12120,1716955.44,19.11,Active
304,66550,38434471.27,9.37,Active
305,32689,39737922.27,11.4,Closed
306,73974,26679042.13,18.07,Defaulted
307,49340,86208612.98,21.64,Defaulted
308,27736,4823951.63,11.95,Active
309,4345,66270398.73,15.43,Active
310,56788,88611212.66,10.87,Defaulted
311,67598,71430956.67,12.69,Defaulted
312,43650,47971407.87,14.57,Defaulted
313,94487,92160607.2,9.26,Active
314,64459,29938081.77,9.84,Defaulted
315,68093,94908214.29,19.32,Closed
316,29112,30740373.83,21.98,Active
317,55268,45173187.52,12.7,Active
318,72285,49903696.57,14.03,Closed
319,2146,1503347.22,16.82,Closed
320,90074,97516120.41,13.86,Active
321,31073,51935505.88,19.8,Defaulted
322,10229,78824490.21,21.1,Defaulted
323,56661,85728381.79,16.94,Defaulted
324,75561,80547005.1,8.87,Active
325,46282,84368340.39,21.13,Closed
326,48848,72348803.37,8.29,Closed
327,16987,89228546.41,9.48,Defaulted
328,8533,51165817.96,14.21,Active
329,96637,52289832.61,11.05,Defaulted
330,61248,27464638.75,22.29,Defaulted
331,41723,11909091.02,22.4,Closed
332,43313,44249489.02,15.14,Defaulted
333,86533,95723455.98,20.95,Defaulted
334,18532,62113736.94,23.11,Closed
335,35187,48540838.39,19.57,Closed
336,33856,28864687.37,10.56,Closed
337,70969,93161714.57,14.6,Closed
338,51053,34044635.57,10.24,Active
339,92201,73581301.66,11.01,Closed
340,36576,23938216.66,10.13,Closed
341,91040,97499452.13,11.68,Closed
342,91650,35993300.38,17.92,Defaulted
343,70350,43287607.46,17.64,Defaulted
344,28894,37631980.74,13.2,Defaulted
345,35388,76355790.88,16.49,Active
346,74707,19926234.04,23.97,Defaulted
347,14381,47790127.45,20.21,Active
348,82278,26096834.51,18.18,Active
349,23364,46990290.7,10.05,Defaulted
350,28278,46928669.42,23.37,Closed
351,25697,18104117.52,13.14,Defaulted
352,87392,6214364.78,20.0,Closed
353,27802,48403645.54,12.14,Active
354,71931,54737030.99,23.71,Defaulted
355,63876,94921060.86,18.93,Active
356,62991,35061173.76,16.96,Active
357,98713,59521758.16,19.57,Active
358,21083,26848567.22,11.16,Active
359,67385,23084121.67,11.33,Active
360,18874,2855571.4,10.14,Closed
361,13955,66202854.24,19.04,Active
362,66847,30047604.05,9.39,Defaulted
363,10,70087929.13,19.88,Active
364,99362,65415381.68,15.75,Active
365,8473,18804836.7,14.48,Active
366,59188,14841083.28,12.09,Active
367,16820,40820152.32,11.76,Active
368,38231,3328334.79,12.5,Defaulted
369,32749,90358016.91,8.99,Closed
370,46291,88949501.76,18.11,Closed
371,87441,20643185.34,21.18,Defaulted
372,80189,18183288.5,21.83,Closed
373,18714,68090919.44,20.1,Defaulted
374,62746,41436343.48,16.85,Active
375,62405,93985106.12,8.24,Closed
376,36055,94356284.71,18.47,Closed
377,47565,99050218.21,14.86,Active
378,95581,6793619.15,17.35,Defaulted
379,8728,37589574.8,11.11,Active
380,65321,80758080.52,10.89,Closed
381,99176,86666215.13,9.44,Defaulted
382,17235,68677269.26,17.65,Defaulted
383,72116,47838806.78,20.78,Closed
384,52950,12214587.1,18.01,Active
385,37376,88992193.5,13.98,Active
386,7353,86128434.85,13.48,Closed
387,73823,27052332.74,14.61,Defaulted
388,17562,5604025.64,15.65,Closed
389,43793,12186350.03,21.53,Closed
390,70593,1098424.71,13.62,Defaulted
391,15672,93247394.91,12.4,Active
392,49632,25326256.51,15.61,Active
393,49886,21455013.94,21.85,Active
394,74309,4466031.62,12.7,Active
395,74146,88355572.25,8.84,Closed
396,43694,79520502.83,12.58,Defaulted
397,23254,71737650.72,22.01,Closed
398,5403,76716333.17,10.44,Closed
399,61158,78219140.15,15.85,Defaulted
400,54313,22154209.04,11.05,Closed
401,43982,26385138.4,9.39,Closed
402,72802,92840310.97,9.72,Active
403,40430,41088846.0,13.33,Closed
404,48402,10112293.53,18.76,Active
405,89178,16034386.52,13.78,Closed
406,16182,82598884.62,10.54,Closed
407,5610,89167528.51,11.71,Active
408,72323,30764558.95,8.6,Closed
409,28203,30730921.38,23.08,Defaulted
410,169,70665030.99,19.39,Closed
411,93359,87134262.0,8.34,Active
412,62645,50758579.2,10.18,Active
413,65383,95100774.86,20.87,Defaulted
414,2873,33073150.54,23.45,Active
415,44008,94910386.23,18.29,Defaulted
416,90285,30840365.5,17.29,Defaulted
417,54678,32689760.0,19.11,Closed
418,48018,91366947.98,16.72,Closed
419,3100,18169297.72,17.37,Defaulted
420,63865,39004388.24,12.58,Active
421,33287,75745828.18,20.36,Closed
422,53658,10971472.39,17.08,Closed
423,82095,14076168.92,18.58,Active
424,30734,20931426.7,8.0,Active
425,63321,61090337.56,9.89,Active
426,7126,32985805.68,16.04,Closed
427,57315,34048449.52,14.38,Closed
428,95923,71951691.83,15.39,Defaulted
429,71087,25109562.54,11.21,Defaulted
430,23496,31529107.55,15.24,Active
431,78019,86484774.13,9.08,Defaulted
432,11598,52491357.83,12.77,Defaulted
433,38600,94379775.73,23.1,Defaulted
434,12699,7603883.01,22.07,Defaulted
435,89681,73734033.94,11.86,Defaulted
436,91537,10036850.05,13.22,Defaulted
437,72889,27373479.92,12.85,Active
438,5134,43185148.67,10.78,Closed
439,36232,77648688.37,15.9,Closed
440,23064,27500825.05,23.34,Defaulted
441,68820,9221612.96,13.82,Closed
442,52742,46409738.88,22.55,Active
443,40019,16297179.01,8.0,Defaulted
444,98799,20027244.23,18.53,Defaulted
445,91898,67319543.57,13.49,Active
446,64041,57544124.58,13.36,Defaulted
447,23461,93703128.42,11.3,Defaulted
448,83464,82713012.87,22.11,Defaulted
449,1687,82038298.52,11.4,Defaulted
450,44462,68547524.33,13.95,Defaulted
451,92500,30397792.43,8.81,Defaulted
452,37751,3689994.01,14.36,Closed
453,19526,3671566.53,19.58,Defaulted
454,6411,67198668.92,15.77,Closed
455,38881,54096520.32,9.06,Closed
456,19419,80189592.52,8.6,Defaulted
457,13392,37041955.1,23.54,Defaulted
458,24014,38581768.41,10.87,Defaulted
459,66420,62703080.18,9.94,Closed
460,10019,21672287.58,23.38,Defaulted
461,39224,7858568.93,12.76,Active
462,20082,85073828.53,21.68,Active
463,39807,26378660.52,18.04,Defaulted
464,84696,19488831.51,20.32,Defaulted
465,29313,69294897.32,12.55,Defaulted
466,51634,91252004.64,19.41,Active
467,2135,45814511.45,20.31,Active
468,68497,80915130.29,21.09,Active
469,988,99722512.77,16.3,Closed
470,70922,71482492.45,11.59,Closed
471,30120,13170162.58,14.77,Closed
472,55710,17745965.95,22.54,Closed
473,67761,8348518.22,11.82,Closed
474,12057,2846902.33,16.86,Active
475,12472,22960660.01,23.66,Closed
476,82738,98885663.59,10.73,Active
477,55437,96112669.0,10.18,Defaulted
478,24433,55217917.3,11.59,Closed
479,41746,25979116.92,10.13,Active
480,19090,67973508.57,14.73,Closed
481,2523,52847808.85,8.54,Closed
482,73125,52155415.63,18.67,Active
483,4905,5351885.88,11.65,Closed
484,87373,65244040.78,10.78,Defaulted
485,94055,96784812.74,22.08,Closed
486,90742,95774102.85,8.16,Defaulted
487,93488,54786614.78,20.07,Active
488,43886,13135613.68,16.04,Closed
